# The settings used in the experiment
# Prior settings:
# Initial errors:
            MCF: 342225.000 ppt; CH4 7482.250 ppb; d13C 0.000 permil
# The other errors:
            foh: 0.000; fst: 0.001; fsl: 0.001; fch4: 0.000; ed13c_e: 0.000 permil
# Correlation lengths:
            In OH: 1.00 yr; in CH4 emissions: 10.00 yr
# Observation errors:
# Year	MCF(ppt)	CH4(ppb)	(d13C(permil)
1992	0.291	3000.000	30.000
1993	0.263	3000.000	30.000
1994	0.173	3000.000	30.000
1995	0.120	3000.000	20.000
1996	0.088	3000.000	30.000
1997	0.072	3000.000	60.000
1998	0.060	3000.000	30.000
1999	0.061	3000.000	40.000
2000	0.060	3000.000	30.000
2001	0.052	3000.000	40.000
2002	0.049	3000.000	30.000
2003	0.043	3000.000	40.000
2004	0.043	3000.000	30.000
2005	0.041	3000.000	30.000
2006	0.034	3000.000	40.000
2007	0.032	3000.000	30.000
2008	0.032	3000.000	30.000
2009	0.029	3000.000	30.000
2010	0.024	3000.000	40.000
2011	0.017	3000.000	30.000
2012	0.011	3000.000	40.000
2013	0.007	3000.000	40.000
2014	0.004	3000.000	40.000
